home,away,ft
KT Wiz Suwon,NC Dinos,"[6, 0]"
Hanwha Eagles,KIA Tigers,"[4, 8]"
Samsung Lions,Lotte Giants,"[21, 4]"
Samsung Lions,Lotte Giants,"[6, 5]"
SSG Landers,Kiwoom Heroes,"[2, 7]"
Hanwha Eagles,KIA Tigers,"[7, 8]"
LG Twins,Doosan Bears,"[6, 3]"
KT Wiz Suwon,NC Dinos,"[2, 8]"
Doosan Bears,Kiwoom Heroes,"[6, 3]"
Hanwha Eagles,Samsung Lions,"[6, 5]"
KIA Tigers,NC Dinos,"[8, 1]"
Lotte Giants,LG Twins,"[1, 2]"
KT Wiz Suwon,SSG Landers,"[5, 3]"
KIA Tigers,NC Dinos,"[7, 0]"
Hanwha Eagles,Samsung Lions,"[3, 2]"
Doosan Bears,Kiwoom Heroes,"[7, 4]"
Doosan Bears,Kiwoom Heroes,"[1, 6]"
KIA Tigers,NC Dinos,"[4, 7]"
KT Wiz Suwon,SSG Landers,"[4, 2]"
Lotte Giants,LG Twins,"[6, 9]"
SSG Landers,Doosan Bears,"[6, 1]"
Samsung Lions,KT Wiz Suwon,"[1, 4]"
NC Dinos,Lotte Giants,"[9, 2]"
Kiwoom Heroes,KIA Tigers,"[5, 4]"
Kiwoom Heroes,KIA Tigers,"[6, 5]"
NC Dinos,Lotte Giants,"[2, 9]"
Samsung Lions,KT Wiz Suwon,"[3, 2]"
SSG Landers,Doosan Bears,"[4, 3]"
Kiwoom Heroes,KIA Tigers,"[3, 4]"
SSG Landers,Doosan Bears,"[3, 0]"
NC Dinos,Lotte Giants,"[6, 10]"
Samsung Lions,KT Wiz Suwon,"[3, 4]"
LG Twins,Hanwha Eagles,"[6, 9]"
KIA Tigers,Doosan Bears,"[7, 12]"
Kiwoom Heroes,NC Dinos,"[6, 2]"
