home,away,ft
Utica Comets,Hartford Wolf Pack,"[7, 3]"
Lehigh Valley Phantoms,Belleville Senators,"[3, 2]"
Calgary Wranglers,Tucson Roadrunners,"[4, 3]"
Abbotsford Canucks,Ontario Reign,"[5, 2]"
San Diego Gulls,Iowa Wild,"[5, 7]"
Coachella Valley Firebirds,Henderson Silver Knights,"[6, 3]"
Utica Comets,Laval Rocket,"[2, 3]"
Hershey Bears,Belleville Senators,"[4, 1]"
Bridgeport Islanders,Syracuse Crunch,"[1, 4]"
Iowa Wild,Rockford IceHogs,"[3, 6]"
Manitoba Moose,Toronto Marlies,"[0, 3]"
Laval Rocket,Utica Comets,"[1, 3]"
Grand Rapids Griffins,Cleveland Monsters,"[4, 2]"
Iowa Wild,Rockford IceHogs,"[2, 1]"
Bridgeport Islanders,Springfield Thunderbirds,"[4, 6]"
Lehigh Valley Phantoms,Rochester Americans,"[2, 3]"
Providence Bruins,Syracuse Crunch,"[5, 0]"
Chicago Wolves,Bakersfield Condors,"[7, 3]"
Texas Stars,Milwaukee Admirals,"[4, 3]"
Ontario Reign,Henderson Silver Knights,"[0, 1]"
Colorado Eagles,Coachella Valley Firebirds,"[6, 4]"
Abbotsford Canucks,San Jose Barracuda,"[3, 2]"
